R0_gal,V_scale,chi2,rms,success,v_predicted,name,n_points,r_max
100.0,72.44156222351346,20.50773166860966,2.2642731542710157,True,"[ 5.01490752  8.01793833  9.44653386 10.68229333 11.85156312 12.85236052
 13.77809202 15.10684296 16.64644785]",CamB,9,1.79
20.964295454830463,61.752776230809644,2.3185881724671615,3.9598055682159936,True,[22.4442893  31.29477771 37.94374703 43.4562162 ],D512-2,4,3.83
100.0,86.45396585693604,2.9151392907725757,1.1476542320389385,True,[10.66701033 15.04900992 18.38825712 21.18519474 23.67969035 25.87711214],D564-8,6,3.07
12.133385449148648,50.0,40.5434211442493,3.2913517652607025,True,"[16.40789693 22.91432087 27.79583868 31.86461322 35.43733763 38.60647095
 41.60935901 44.4316132  47.11444422 49.68697826 52.17051164 54.58104432
 56.9308683  59.22960531 61.48490824 63.70294875]",D631-7,16,7.19
100.0,175.03742928335342,11.159135272009266,4.285939983607292,True,"[ 9.58241917 16.58087827 21.17110908 25.09882454 28.47822376 31.48661042
 34.22219914 36.62430891 38.98561374 41.20455407 43.30318611 45.20086863
 46.1661247  51.63674854]",DDO064,14,2.98
32.53401616593162,80.22752309140134,327.8655935053749,4.059240588718926,True,"[16.93203489 23.9100911  29.06610188 33.36066657 37.17806834 40.52972504
 43.65310198 46.48728919 49.14119976 51.69655922 54.07563743 56.34958641]",DDO154,12,5.92
74.9855618708604,104.62068624884067,210.71930142062106,3.3391907987868024,True,"[16.14638224 17.79537816 19.18812081 20.58687193 21.49969789 25.72146633
 29.37877626 32.53531173 35.3871803  38.00472249 40.43495687 42.71118455
 44.94681583 47.02090403 48.9557332  50.80732373 52.58524557 54.29744386
 55.9506003  57.55039695 59.13422498 60.64038641 62.10605407 63.5344593
 64.92845889 66.29059233 67.62312831 68.95558251 70.23430143 71.54186777
 72.77309568]",DDO161,31,13.37
100.0,173.6144140706988,52.939743622923736,3.9615997577660735,True,"[19.21589794 27.12207108 33.28726637 38.2123587  42.74784441 46.72714652
 50.45609799 53.82757957 56.98208526 59.95471026]",DDO168,10,4.12
65.2936612807602,97.24676106655114,175.19210841073175,5.039875606414595,True,"[28.13750506 37.39282584 44.6407447  50.71111514 56.08710849 60.91164401
 65.35299574 69.52440484]",DDO170,8,12.33
100.0,282.5678583741388,107.62356167429836,9.467374107577719,True,"[ 31.27502492  48.2213883   64.75289325  79.29304676  88.37945443
 100.62569366 113.65197827 120.11982736 125.00587347 136.95109111
 149.59903711 160.55307693 171.3398519  181.37058216 190.34885978]",ESO079-G014,15,16.67
47.12663640520981,170.04383439938076,134.06982510787944,9.66440052223599,True,"[ 21.39574857  38.76405262  49.73686008  57.36154958  68.60747422
  74.59047432  79.86609512  84.38417577  94.41485199 101.17535569
 107.02333485 112.47314184 117.72387825 122.80759356 127.68800006]",ESO116-G012,15,9.86
20.74020205208589,99.53278553572868,20.135127243750667,5.824790478071379,True,"[19.18672177 32.67881404 41.92465994 49.29467299 55.47271666 66.42379558
 75.56851511]",ESO444-G084,7,4.44
53.53679297417638,300.0,3025.9529247018563,66.64172157768427,True,"[ 47.44488393  81.26852147 104.15083653 122.47418666 138.12772894
 151.98636914 164.54161766 176.22737771 186.99434694 197.12570473
 215.6933671  233.42583489 245.99181547 261.06119902 274.70511198
 288.46275891 301.83356628 314.07813958 326.74847257 339.06625482
 350.5906419  362.53819053 374.23432015 385.2402833  396.64137994
 407.98124179 418.62936372 429.69510798 440.66987611 451.06050596]",ESO563-G021,30,42.41
51.547438284998,80.26898993290463,4.706250461594212,4.437923875170104,True,[24.22845108 33.93093366 41.1635337  47.18182497 52.4496608  57.17710506],F561-1,6,9.66
86.24901811897233,164.98245251160535,37.03232386148501,15.623848915701076,True,"[ 31.63973896  40.65915796  47.92307209  52.2221696   52.8172039
  54.06805279  78.66023102  86.96437943  90.17505258  93.03892936
  93.88346939 101.3379371  111.80757211 114.94409235 123.50658091
 127.06129905 130.49211787]",F563-1,17,20.1
52.140043306183884,50.777552584616735,2.88563959527207,3.467491645791468,True,[13.78095352 19.33738013 23.44961257 26.89555146 29.90294601 32.62727985],F563-V1,6,7.87
63.12210606083994,211.883607339807,12.160831863042212,16.113095532738313,True,"[ 24.38921529  42.80295585  55.22128073  65.18324775  69.66016387
  97.87209855 124.25727792 130.39412728 140.50277023 142.39390846]",F563-V2,10,10.47
100.0,169.79741937616708,2.025949523521091,5.050436308476738,True,"[32.813917   46.06064171 56.23745655 64.57587147 71.90735451 78.42720936
 84.42837049]",F565-V2,7,8.8
48.8175122127699,83.55231928442242,3.6959224899312617,5.9425610295414675,True,[28.21086541 39.33100355 47.72188539 54.72026745 60.87312427],F567-2,5,9.59
73.7153355505401,227.6839817004077,9.224141314482495,10.639344916546076,True,"[ 30.378833    52.32948779  67.2166518   79.16319187  89.38012133
  98.42657122 104.90950244 121.15195991 127.79957698 133.94328105
 139.92083684 158.87103479]",F568-1,12,13.23
100.0,178.38446533802156,57.73963028810908,10.361822260461402,True,"[ 24.64044609  33.37330802  41.10374413  43.607013    50.86912344
  52.7961509   58.00839162  62.1068317   64.97662173  68.55303008
  70.13978831  75.65902611  90.12575239  95.02099843 102.75073704
 110.67175495 117.6328215  124.5790896 ]",F568-3,18,17.98
69.76388160471049,215.38849821044857,38.260156422951795,20.396523470670875,True,"[ 27.81695867  48.13322526  61.58462031  72.67526337  82.14935232
  90.33068403  97.93314785 104.83278519 109.24075516 117.35086471
 122.97060491 128.45299179 133.23371109 146.04365335 177.18177001]",F568-V1,15,17.63
78.14338958226564,230.82694035451564,43.19960077720188,8.929560268076338,True,"[ 21.18395188  39.75161503  51.74192243  68.11380932  82.31027552
  86.14646807  96.35567924 102.62248891 108.48235263 117.4687863
 132.69227411 144.10042672 169.21280859]",F571-8,13,15.55
